"cruise","station","cruise_station","decimalLatitude","decimalLongitude","decimalLongitude_flag","time_UTC","time_local","date","region","average_depth","FishNum","forkLength","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","preyTaxon","scientificName_preyTaxon","scientificNameID_preyTaxon","preyCount"
201504,295,"201504-295",41.9333333333333,-67.8183333333333,1,12:20:18,"07:20:00",2015-10-13,"GB",32.3,643,142,"S. scombrus","201504_295_643_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1
201504,332,"201504-332",43.5433333333333,-67.0116666666667,1,00:24:28,"19:24:00",2015-10-18,"GoM",115.6,654,133,"A. pseudoharengus","201504_332_654_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,2
201504,387,"201504-387",42.9516666666667,-70.165,1,21:03:23,"16:03:00",2015-10-30,"GoM",80.4,659,146,"S. scombrus","201504_387_659_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1320
201504,387,"201504-387",42.9516666666667,-70.165,1,21:03:23,"16:03:00",2015-10-30,"GoM",80.4,660,168,"S. scombrus","201504_387_660_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,7150
201504,387,"201504-387",42.9516666666667,-70.165,1,21:03:23,"16:03:00",2015-10-30,"GoM",80.4,661,100,"S. scombrus","201504_387_661_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,68
201504,291,"201504-291",41.6166666666667,-68.07,1,02:02:53,"21:02:00",2015-10-13,"GB",21.6,669,169,"S. scombrus","201504_291_669_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,245
201504,291,"201504-291",41.6166666666667,-68.07,1,02:02:53,"21:02:00",2015-10-13,"GB",21.6,670,162,"S. scombrus","201504_291_670_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,4
201504,365,"201504-365",42.0933333333333,-70.3116666666667,1,11:53:55,"06:53:00",2015-10-28,"GoM",33.4,691,139,"S. scombrus","201504_365_691_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,13450
201504,365,"201504-365",42.0933333333333,-70.3116666666667,1,11:53:55,"06:53:00",2015-10-28,"GoM",33.4,692,142,"S. scombrus","201504_365_692_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,2720
201504,231,"201504-231",40.9816666666667,-68.7866666666667,1,22:04:51,"17:04:00",2015-09-28,"GB",39.1,710,85,"P. triacanthus","201504_231_710_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish","Centropages spp.","Centropages",85761,2
201302,60,"201302-60",36.2005066666667,-75.339775,1,01:10:35,"20:10:00",2013-03-21,"MAB",30,4,220,"C. harengus","201302_60_4_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,60
201302,70,"201302-70",37.2542116666667,-75.0722883333333,1,00:46:23,"19:46:00",2013-03-22,"MAB",36,54,220,"C. harengus","201302_70_54_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,50
201302,211,"201302-211",41.4542783333333,-69.28315,1,21:00:33,"16:00:00",2013-04-10,"GoM",94,69,142,"C. harengus","201302_211_69_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,112
201302,211,"201302-211",41.4542783333333,-69.28315,1,21:00:33,"16:00:00",2013-04-10,"GoM",94,70,177,"C. harengus","201302_211_70_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,280
201302,122,"201302-122",39.6457116666667,-73.1723066666667,1,18:05:52,"13:05:00",2013-03-27,"SNE",43,72,199,"C. harengus","201302_122_72_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,372
201302,122,"201302-122",39.6457116666667,-73.1723066666667,1,18:05:52,"13:05:00",2013-03-27,"SNE",43,74,177,"C. harengus","201302_122_74_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,277
201302,125,"201302-125",39.6260033333333,-72.7645916666667,1,00:10:13,"19:10:00",2013-03-28,"SNE",69,82,224,"C. harengus","201302_125_82_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,1250
201302,125,"201302-125",39.6260033333333,-72.7645916666667,1,00:10:13,"19:10:00",2013-03-28,"SNE",69,83,230,"C. harengus","201302_125_83_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,928
201302,121,"201302-121",39.6712433333333,-73.2914583333333,1,16:12:43,"11:12:00",2013-03-27,"SNE",42,86,180,"C. harengus","201302_121_86_C_harengus","Clupea harengus",161722,"Atlantic herring","Calanus spp.","Calanus",85263,110
